[0719/154046:ERROR:backend_impl.cc(2020)] Corrupt Index file
[0719/154046:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[0719/154046:ERROR:cache_util.cc(134)] Unable to move cache folder C:\ProgramData\Altium\Altium Designer {FF83626F-D721-4B7A-AA7E-CAF67EAE1292}\BrowserCache to C:\ProgramData\Altium\Altium Designer {FF83626F-D721-4B7A-AA7E-CAF67EAE1292}\old_BrowserCache_000
[0719/154046:ERROR:cache_creator.cc(129)] Unable to create cache
[0719/161639:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161644:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161649:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161654:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161659:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161704:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161709:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161714:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161719:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161724:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161729:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161734:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161739:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161744:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161749:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161754:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161759:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161804:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161809:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161814:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161819:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161824:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161829:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161834:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161839:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161844:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161849:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161854:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161859:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161904:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161909:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161914:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161919:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161924:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161929:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161934:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161939:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161944:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161949:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161954:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/161959:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162004:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162010:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162015:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162020:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162025:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162030:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162035:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162040:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162045:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162050:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162055:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162100:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162105:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162110:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162115:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162120:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162125:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162130:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162135:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162140:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162145:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162155:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162200:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162205:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162210:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162215:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162220:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162225:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162235:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162240:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162245:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162250:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162255:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162300:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162305:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162310:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162315:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162320:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162325:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162330:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162336:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162341:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162346:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162351:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162356:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162401:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162406:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162411:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162416:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162421:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162426:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
